Mod Name,Forum Page,Icon,Author
B9 Aerospace,http://forum.kerbalspaceprogram.com/threads/92630,B9_Aerospace,bac9
6S Service Compartment Tubes!,http://forum.kerbalspaceprogram.com/threads/61040,NothkeSerCom,nothke
Cargo Transportation Solutions,http://forum.kerbalspaceprogram.com/threads/77505,ModsByTal,Talisar
Deadly Reentry,http://forum.kerbalspaceprogram.com/threads/54954,DeadlyReentry,Starwaster
DMagic Orbital Science,http://forum.kerbalspaceprogram.com/threads/64972,DMagic Orbital Science,DMagic
Extraplanetary Launchpads,http://forum.kerbalspaceprogram.com/threads/59545,ExtraplanetaryLaunchpads,taniwha
FASA,http://forum.kerbalspaceprogram.com/threads/24867,FASA,frizzank
Fuel Science,http://forum.kerbalspaceprogram.com/threads/67359,ArcanumIndustries,ArcaneZedric
GingerCorp Stock-alike Station Hubs,http://forum.kerbalspaceprogram.com/threads/80575,GingerCorp,Starwaster
Kerbal Attachment System (KAS),http://forum.kerbalspaceprogram.com/threads/92514,KAS,KospY
Kerbal Engineer Redux,http://forum.kerbalspaceprogram.com/threads/18230,KerbalEngineer,cybutek
Klockheed Martian. Smart Parts,http://forum.kerbalspaceprogram.com/threads/64227,Klockheed_Martian_SmartParts,Firov
KSP Interstellar,http://forum.kerbalspaceprogram.com/threads/43839,WarpPlugin,Fractal_UK
KSPX,http://forum.kerbalspaceprogram.com/threads/30472,KSPX,KasperVld
KWRocketry,http://forum.kerbalspaceprogram.com/threads/51037,KWRocketry,Kickasskyle
Magic Smoke Industries - Infernal Robotics,http://forum.kerbalspaceprogram.com/threads/37707,MagicSmokeIndustries,sirkut
Mark IV Spaceplane System,http://forum.kerbalspaceprogram.com/threads/101699,MarkIVSystem,Nertea
MechJeb,http://forum.kerbalspaceprogram.com/threads/12384,Mechjeb,r4mon
Modular Rocket Systems,http://forum.kerbalspaceprogram.com/threads/93067,ModRocketSys,NecroBones
Nasa Missions,-,NASAmission,Squad
Near Future Construction,http://forum.kerbalspaceprogram.com/threads/52042,NearFutureConstruction,Nertea
Near Future Electrical,http://forum.kerbalspaceprogram.com/threads/52042,NearFutureElectrical,Nertea
Near Future Propulsion,http://forum.kerbalspaceprogram.com/threads/52042,NearFuturePropulsion,Nertea
Near Future Solar,http://forum.kerbalspaceprogram.com/threads/52042,NearFutureSolar,Nertea
Near Future Spacecraft,http://forum.kerbalspaceprogram.com/threads/52042,NearFutureSpacecraft,Nertea
NEBULA space engineering - EVA handrails pack ,http://forum.kerbalspaceprogram.com/threads/100531,NEBULA,Krasimir
Nehemiah Engineering - Orbital Material Science,http://forum.kerbalspaceprogram.com/threads/81578,NehemiahInc,N3h3mia
NovaPunch,http://forum.kerbalspaceprogram.com/threads/3870,NovaPunch2,Tiberion
Procedural Dynamics - Procedural Wing,http://forum.kerbalspaceprogram.com/threads/29862,ProceduralDynamics,DYJ
Procedural Fairings,http://forum.kerbalspaceprogram.com/threads/39512,ProceduralFairings,e-dog
Procedural Parts,http://forum.kerbalspaceprogram.com/threads/70676,ProceduralParts,swamp_ig
Raster Prop Monitor,http://forum.kerbalspaceprogram.com/threads/57603,JSI,Mihara
RealChute,http://forum.kerbalspaceprogram.com/threads/57988,RealChute,stupid_chris
RemoteTech,http://forum.kerbalspaceprogram.com/threads/83305,RemoteTech,Starstrider42
RLA  Stockalike,http://forum.kerbalspaceprogram.com/threads/90218,RLA_Stockalike,hoojiwana
SCANSat,http://forum.kerbalspaceprogram.com/threads/80369,SCANsat,DMagic
Squad (Vanilla game),-,Squad,Squad
Stoackalike Station Parts Expansion,http://forum.kerbalspaceprogram.com/threads/91814,StationPartsExpansion,Nertea
TAC Life Support ,http://forum.kerbalspaceprogram.com/threads/40667,ThunderAerospace,TaranisElsu
Umbra Space Industries,http://bobpalmer.github.io/UmbraSpaceIndustries/,UmbraSpaceIndustries,Roverdude
Universal Storage,http://forum.kerbalspaceprogram.com/threads/75129,UniversalStorage,Paul Kingtiger
USI Asteroid Recycling Technologies,http://forum.kerbalspaceprogram.com/threads/91790,ART,Roverdude
Vanguard Technologies,http://forum.kerbalspaceprogram.com/threads/25305,VNG,Kreuzung
WombatConversions,http://forum.kerbalspaceprogram.com/threads/89774,WombatConversions,rabidninjawombat
